"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"ago",241457,34970.4264292,33810.3096384,32688.6788229,31604.2572404,30555.8105033,29542.1451741,28562.1074064,27614.5816321,26698.4892908,25812.787603,24956.4683821,24128.5568876,23328.1107152,22554.2187241,21806,21082.6028521,20383.2038439,19707.0068556,19053.2421784,18421.1656375,17810.057746
"ago",241458,349494.178725,337899.980243,326690.410309,315852.709169,305374.540364,295243.976687,285449.486608,275979.921145,266824.501177,257972.805169,249414.757316,241140.616067,233140.96304,225406.692301,217929,210699.374345,203709.585916,196951.678302,190417.959034,184100.990838,177993.583166
"ago",241459,7977.85601154,9359.46665934,10980.3455992,12881.9294802,15112.8309791,17730.0815497,20800.589393,24402.8499181,28628.9524242,33586.9342989,39403.54292,46227.4758639,54233.182257,63625.3224463,74644,87570.8997892,102736.489067,120528.465634,141401.669066,165889.708373,194618.603344
"ago",241460,2681.15985083,3145.48497691,3690.22225097,4329.29750468,5079.04825492,5958.64136108,6990.56301259,8201.19357277,9621.48197461,11287.7369088,13242.5550304,15535.9099127,18226.4295871,21382.8953283,25086,29430.410912,34527.1899246,40506.6326682,47521.5994613,55751.4230782,65406.4932679
"ago",241461,97864.5924247,94618.0104271,91479.1312708,88444.3819975,85510.3081792,82673.5699854,79930.9383825,77279.2914572,74715.6108633,72236.9783859,69840.5726198,67523.6657574,65283.6204844,63117.886977,61024,58999.5761005,57042.3108947,55149.976445,53320.4187239,51551.555162,49841.3722778
"ago",241462,77712.1530483,81822.6077048,86150.4780012,90707.263775,95505.0731284,100556.654601,105875.431047,111475.535297,117371.847716,123580.035741,130116.595513,136998.895706,144245.223683,151874.834086,159908,168366.06682,177271.508971,186647.989623,196520.423573,206915.043442,217859.469384
"ago",241463,82334.7985682,86689.7603457,91275.0705591,96102.9131048,101186.116326,106538.187099,112173.346724,118106.568714,124353.618581,130931.095726,137856.477548,145148.165886,152825.53591,160908.987611,169420,178381.188187,187816.36347,197750.596605,208210.284424,219223.219976,230818.666377
"ago",241464,36839.7438641,38788.320641,40839.9641349,43000.1258878,45274.5457919,47669.2673415,50190.6536914,52845.4045648,55640.5740557,58583.5893724,61682.2705733,64944.8513455,68380.0008834,71996.8469238,75805,79814.5789785,84036.2379463,88481.1945204,93161.2596552,98088.8690256,103277.116071
"ago",241465,355531.107676,374336.332339,394136.22798,414983.40606,436933.260837,460044.116554,484377.38242,509997.715778,536973.193916,565375.494956,595280.088314,626766.435236,659918.199937,694823.471912,731575,770270.438839,811012.608344,853909.766918,899075.899112,946631.0185,996701.486572
"ago",241466,118549.085664,124819.541726,131421.663098,138372.992663,145692.001206,153398.136492,161511.874945,170054.776054,179049.539661,188520.06628,198491.5206,208990.398358,220044.596735,231683.488489,243938,256840.693448,270425.853336,284729.577586,299789.873462,315646.758556,332342.367127
"ago",241467,33378.1055086,35143.5847011,37002.4459694,38959.6286027,41020.3331453,43190.035216,45474.5000572,47879.797854,50412.319864,53078.7953997,55886.3097093,58842.3228034,61954.6892774,65231.6791823,68682,72314.8197797,76139.7914996,80167.0787158,84407.3825689,88871.9702185,93572.7047818
"ago",241468,71397.3237921,75173.7660927,79149.957007,83336.4619046,87744.4049928,92385.498875,97272.0756734,102417.119797,107834.302445,113538.017928,119543.421925,125866.471744,132523.968733,139533.602915,146914,154684.770873,162866.563705,171481.118815,180551.326443,190101.287567,200156.377949
"ago",241469,94309.5786517,110642.177017,129803.266117,152282.685942,178655.107313,209594.722943,245892.482707,288476.31373,338434.8422,397045.223347,465805.791028,546474.361602,641113.171282,752141.595787,882398,1035212.29881,1214491.08407,1424817.49395,1671568.37764,1961051.75083,2300668.05575
"ago",241470,92166.9807273,108128.522495,126854.295158,148823.010144,174596.282456,204832.987976,240306.10717,281922.485796,330746.01779,388024.842983,455223.254925,534059.134542,626547.866573,735053.861487,862351,1011693.54542,1186899.33663,1392447.38851,1633592.39484,1916499.06095,2248399.70008
"ago",241471,225262.744052,264273.902599,310041.040692,363734.163563,426725.898764,500626.586439,587325.446558,689038.875518,808367.106786,948360.684064,1112598.44633,1305279.0184,1531328.14583,1796524.61823,2107648,2472651.94522,2900867.52731,3403241.78147,3992617.55806,4684061.84118,5495250.92574
"ago",241472,113837.177871,133551.579439,156680.13477,183814.109385,215647.164578,252993.090391,296806.609586,348207.784482,408510.650564,479256.808898,562254.836093,659626.519312,773861.098293,907878.901043,1065106,1249561.79721,1465961.77756,1719838.05687,2017680.80666,2367104.17082,2777040.91599
"ago",241473,89490.4861585,90986.7934585,92508.1194574,94054.8824754,95627.5078268,97226.4279376,98852.0824638,100504.918413,102185.390266,103893.960103,105631.097732,107397.280814,109192.994997,111018.734051,112875,114762.303262,116681.162792,118632.106218,120615.669992,122632.399538,124682.849396
"ago",241474,42627.9952982,43340.7479414,44065.4180188,44802.2047934,45551.31086,46312.9422008,47087.3082421,47874.6219118,48675.099698,49488.9617088,50316.4317321,51157.7372981,52013.1097411,52882.7842634,53767,54666.0000843,55580.0317149,56509.3462237,57454.1991449,58414.8502855,59391.5637961
"ago",241475,21484.8521321,21844.085191,22209.3247325,22580.6711867,22958.2266631,23342.0949783,23732.3816849,24129.1941002,24532.6413361,24942.8343286,25359.8858688,25783.9106337,26215.0252176,26653.3481644,27099,27552.1032656,28012.7825514,28481.1645306,28957.3779945,29441.5538878,29933.8253448
"ago",241476,155128.735098,157722.533263,160359.700497,163040.961945,165767.054874,168538.728881,171356.746093,174221.881384,177134.922581,180096.670685,183107.940091,186169.558808,189282.368693,192447.225676,195665,198936.576459,202262.854641,205644.749174,209083.189981,212579.122531,216133.508103
"ago",241477,61852.1828484,65123.7508468,68568.3629753,72195.1721142,76013.8152704,80034.4391842,84267.7272907,88724.9281074,93417.8851235,98359.0682699,103561.607053,109039.325444,114806.778609,120879.291584,127273,134004.892953,141092.858151,148555.72944,156413.336852,164686.559297,173397.380037
"ago",241478,29831.9065642,31409.8154812,33071.1852572,34820.4304152,36662.1989768,38601.3848131,40643.1406484,42792.8917514,45056.3503517,47439.5308176,49948.7656374,52590.7222458,55372.4207404,58301.252535,61385,64631.8571413,68050.451373,71649.866442,75439.6665646,79429.9218407,83631.235011
"ago",241479,36928.6782765,38881.9590907,40938.5554341,43103.9320093,45383.842565,47784.345185,50311.8183854,52972.9780631,55774.8953413,58725.0153582,61831.1770507,65101.6339825,68545.0762763,72170.6537041,75988,80007.2584581,84239.1088854,88694.7959794,93386.1592069,98325.6642638,103526.436198
"ago",241480,40218.7655525,42346.070043,44585.8947547,46944.1912568,49427.2259171,52041.5965524,54794.2499597,57692.5003757,60744.048911,63957.004014,67339.9030157,70901.734815,74651.9637637,78600.5548145,82758,87135.346311,91744.2250505,96596.8827402,101706.213661,107085.794114,112749.918499
"ago",241481,49040.2816876,51634.1855535,54365.2896359,57240.8509114,60268.510202,63456.3124785,66812.728237,70346.676006,74067.5460452,77985.2252961,82110.1236535,86453.2016262,91025.999461,95840.6678066,100910,106247.466061,111867.248482,117784.279916,124014.282855,130573.811403,137480.295267
