"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"bwa",721379152,28.6276973448,29.0000008168,29.3771460989,29.759196159,30.1462147837,30.5382665892,30.9354170322,31.3377324203,31.7452799239,32.1581275865,32.5763443369,33,33.429165309,33.8639119168,34.3043124084,34.7504403125,35.2023701141,35.660177267,36.1239382063,36.5937303609,37.0696321669
"bwa",721379153,181974.217899,186006.999876,190129.153473,194342.659279,198649.541775,203051.870309,207551.760087,212151.373193,216852.919622,221658.658348,226570.898405,231592,236724.375644,241970.491312,247332.86763,252814.081082,258416.765251,264143.612085,269997.373187,275980.86114,282096.950858
"bwa",721379154,17814.5721896,18257.999339,18712.4639489,19178.2407556,19655.6113339,20144.8642675,20646.2953231,21160.2076294,21686.9118607,22226.7264239,22779.9776519,23347,23928.1362489,24523.7377112,25134.1644445,25759.7854683,26400.9789878,27058.1326219,27731.643638,28421.919192,29129.3765743
"bwa",721379155,73490.0896106,75069.9985007,76683.8726794,78332.4423412,80016.4533786,81736.6677193,83493.8636714,85288.8362749,87122.3976622,88995.3774249,90908.6229893,92863,94859.3927115,96898.7043881,98981.8577128,101109.795205,103283.479645,105503.894514,107772.044434,110088.955626,112455.676372
"bwa",721379156,48757.3651621,49642.0027813,50542.690975,51459.7209593,52393.3892345,53343.9976803,54311.8536534,55297.2700875,56300.5655936,57322.0645639,58362.097276,59421,60499.1151073,61596.7911809,62714.3831287,63852.2522977,65010.7665912,66190.3005876,67391.2356613,68613.9601066,69858.8692626
"bwa",721379157,15729.3302638,16110.9998633,16501.9306125,16902.3472317,17312.4798941,17732.5643577,18162.8421014,18603.5604634,19054.9727837,19517.3385493,19990.9235439,20476,20972.8467562,21481.7494168,22003.0005164,22536.8996878,23083.7538343,23643.8773063,24217.5920819,24805.2279516,25407.1227086
"bwa",721379158,39901.6848547,40562.000112,41233.2426331,41915.5932485,42609.2357811,43314.3570959,44031.1471501,44759.7990444,45500.5090753,46253.4767875,47018.9050278,47797,48587.9713203,49392.0320736,50209.3988711,51040.2919086,51884.9350259,52743.555767,53616.3854413,54503.6591861,55405.61603
"bwa",721379159,71902.4355162,73507.0028043,75147.3774494,76824.3585249,78538.762936,80291.425818,82083.2009429,83914.9611356,85787.5986986,87702.0258471,89659.1751532,91660,93705.4750464,95796.5967017,97934.3836108,100119.877151,102354.141938,104638.266345,106973.363037,109360.569503,111801.048622
"bwa",721379160,56319.0479586,57208.0022616,58110.9880474,59028.2267925,59959.9434693,60906.3666012,61867.7283187,62844.2644162,63836.2144099,64843.8215969,65867.3331143,66907,67963.0772546,69035.8239036,70125.5030609,71232.3819936,72356.7321874,73498.8294132,74658.9537945,75837.3898768,77034.4266965
"bwa",721379161,48426.6238365,49399.0015099,50390.903946,51402.7231904,52434.8591607,53487.7198046,54561.7212613,55657.2880254,56774.8531157,57914.8582452,59077.7539967,60264,61474.0651143,62708.4276132,63967.5753736,65252.0060686,66562.2273647,67898.7571215,69262.1235974,70652.8656575,72071.5329872
"bwa",721379162,31575.4562339,32480.9994732,33412.5125212,34370.7401584,35356.4485247,36370.4257318,37413.4824936,38486.452774,39590.1944541,40725.5900178,41893.5472575,43095,44330.908853,45602.2619731,46910.0758561,48255.3961495,49639.2984887,51062.8893567,52527.3069693,54033.7221847,55583.3394398
"bwa",721379163,121351.413585,123514.001451,125715.128516,127955.481583,130235.759692,132556.674343,134918.949714,137323.322889,139770.544088,142261.3769,144796.598521,147377,150003.38648,152676.577454,155397.40702,158166.724137,160985.392898,163854.29279,166774.318976,169746.382572,172771.41093
"bwa",721379164,10194.1210173,10470.9995992,10755.3983733,11047.5215926,11347.5790578,11655.7862679,11972.3645749,12297.5413429,12631.5501116,12974.6307633,13327.029696,13689,14060.8016395,14442.7016397,14834.9742783,15237.9012824,15651.7720312,16076.8837634,16513.5417912,16962.0597189,17422.7596687
"bwa",721379165,25562.0013014,25937.9999881,26319.5293457,26706.6707261,27099.5066783,27498.1209653,27902.5985823,28313.0257746,28729.4900563,29152.0802285,29580.8863988,30016,30457.5138099,30905.5219709,31360.1200103,31821.4048605,32289.4748797,32764.4298728,33246.3711128,33735.4013625,34231.624896
"bwa",721379166,58607.355408,60623.0004172,62707.9682063,64864.6429491,67095.4908167,69403.0627974,71789.9976143,74259.0247423,76812.9675293,79454.7464249,82187.3823197,85014,87937.8317208,90962.2209018,94090.6259512,97326.6242195,100673.916091,104136.329215,107717.822882,111422.492554,115254.574542
"bwa",721379167,184122.34307,189773.004371,195597.082828,201599.900563,207786.943034,214163.864043,220736.490908,227510.829785,234493.071157,241689.595492,249106.979071,256752,264631.644404,272753.112809,281123.826724,289751.435421,298643.822926,307809.115224,317255.687685,326992.172714,337027.467644
"bwa",721379168,150529.68026,153035.004843,155582.026527,158171.439293,160803.948673,163480.27194,166201.138306,168967.289119,171779.478067,174638.47138,177545.048042,180500,183504.132384,186558.263723,189663.22617,192819.865725,196029.042473,199291.630809,202608.519685,205980.612844,209408.829074
"bwa",721379169,46798.1840439,47477.0021953,48165.6667562,48864.3205509,49573.1084755,50292.1775279,51021.6768381,51761.7576993,52512.5735994,53274.2802524,54047.0356312,54831,55626.3359477,56433.2084217,57251.7847618,58082.2347352,58924.7305717,59779.4469991,60646.56128,61526.2532479,62418.705345
"bwa",721379170,66486.1061233,66964.0000688,67445.3290571,67930.117779,68418.3911025,68910.1740746,69405.4919221,69904.3700533,70406.8340591,70912.9097144,71422.6229791,71936,72453.0671117,72973.8508382,73498.377894,74026.6751857,74558.7698133,75094.6890716,75634.4604515,76178.1116416,76725.6705296
"bwa",721379171,119.413842075,112.000011249,105.046469503,98.524639703,92.4077189319,86.6705683364,81.2896098138,76.2427291122,71.5091849474,67.0695237617,62.905499775,59,55.3369739125,51.901367488,48.679061334,45.6568126631,42.8222008689,40.1635764806,37.6700132871,35.3312634331,33.1377153033
"bwa",721379172,108943.513958,109811.000259,110685.394108,111566.750507,112455.124897,113350.57316,114253.151623,115162.917063,116079.926707,117004.238239,117935.909801,118875,119821.567908,120775.673067,121737.375495,122706.735687,123683.814619,124668.673753,125661.375042,126661.980929,127670.554357
"bwa",721379173,713.180034053,689.000020789,665.639818811,643.071632828,621.268609932,600.204807649,579.855163075,560.195463048,541.202315343,522.853120836,505.126046614,488,471.454603453,455.470170321,440.027681421,425.108762402,410.695661891,396.771230362,383.318899737,370.322663671,357.767058505
"bwa",721379174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
