"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"cod",180876008,729200.766339,795880.534461,868657.651464,948089.672726,1034785.13775,1129408.23228,1232683.87668,1345403.2797,1468430,1602706.56199,1749261.67665,1909218.12262,2083801.34796,2274348.85848,2482320.46453,2709309.46484,2957054.85298,3227454.64001,3522580.39543,3844693.11774,4196260.55626
"cod",180876009,129870.962878,141746.657598,154708.292715,168855.169078,184295.667826,201148.08072,219541.516382,239616.889422,261528,285442.71211,311544.23961,340032.549847,371125.895636,405062.487323,442102.317746,482529.154077,526652.711801,574811.027487,627373.048532,684741.45972,747355.768241
"cod",180876010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cod",180876011,136233.581485,142333.219318,148705.958551,155364.026856,162320.199379,169587.823253,177180.843209,185113.828328,193402,202061.261127,211108.226638,220560.255368,230435.483367,240752.858696,251532.177785,262794.123418,274560.304415,286853.297099,299696.688608,313115.122159,327134.344326
"cod",180876012,1713400.62945,1790115.36594,1870264.88042,1954002.95953,2041490.27543,2132894.69412,2228391.59753,2328164.22002,2432404,2541310.9472,2655094.02647,2773971.55871,2898171.63982,3027932.57827,3163503.35246,3305144.08837,3453126.55868,3607734.70428,3769265.17905,3938027.91905,4114346.73724
"cod",180876013,461111.479312,491390.849248,523658.545837,558045.134636,594689.75493,633740.682732,675355.930751,719703.887771,766964,817327.497171,870998.166318,928193.176365,989143.95686,1054097.13442,1123315.53065,1197079.22562,1275686.69115,1359455.99853,1448726.10551,1543858.2279,1645237.3011
"cod",180876014,306597.816156,313605.819178,320774.006337,328106.039011,335605.662269,343276.706783,351123.090781,359148.822055,367358,375754.817716,384343.564143,393128.626258,402114.491309,411305.749113,420707.094397,430323.329196,440159.365309,450220.226802,460511.05258,471037.099011,481803.742606
"cod",180876015,154925.547878,158466.730008,162088.854056,165793.770136,169583.370651,173459.591262,177424.41187,181479.857633,185628,189870.957766,194210.898156,198650.037933,203190.644529,207835.037202,212585.588224,217444.724089,222414.926757,227498.734915,232698.745279,238017.613922,243458.057623
"cod",180876016,459168.894884,476047.721869,493547.006387,511689.55616,530499.017307,549999.905168,570217.636256,591178.561382,612910,635440.275814,658798.753694,683015.877949,708123.212004,734153.479542,761140.607153,789119.768551,818127.430419,848201.399939,879380.874065,911706.490613,945220.381225
"cod",180876017,295475.56566,296452.245657,297432.154022,298415.301426,299401.698576,300391.356213,301384.285114,302380.496094,303380,304382.807717,305388.930166,306398.378304,307411.163122,308427.295652,309446.786957,310469.648141,311495.890343,312525.524738,313558.562539,314595.014996,315634.893395
"cod",180876018,241134.28019,241931.337732,242731.029908,243533.365428,244338.353029,245146.001476,245956.319566,246769.316123,247585,248403.38008,249224.465275,250048.264527,250874.786808,251704.041117,252536.036485,253370.781973,254208.286672,255048.559702,255891.610212,256737.447385,257586.080431
"cod",180876019,513970.484245,515669.388484,517373.908368,519084.062458,520799.86938,522521.347816,524248.516516,525981.394287,527720,529464.352589,531214.471051,532970.374443,534732.081887,536499.61257,538272.985738,540052.220704,541837.336844,543628.353599,545425.290471,547228.16703,549037.002909
"cod",180876020,244282.071831,245089.534244,245899.665685,246712.474975,247527.970966,248346.162539,249167.058605,249990.668102,250817,251646.063298,252477.867023,253312.420235,254149.732022,254989.811502,255832.667823,256678.310165,257526.747736,258377.989776,259232.045555,260088.924373,260948.635562
"cod",180876021,188306.505923,188928.943847,189553.439209,190179.99881,190808.629473,191439.338043,192072.13139,192707.016404,193344,193983.089114,194624.290705,195267.611757,195913.059275,196560.640288,197210.361848,197862.231031,198516.254936,199172.440685,199830.795423,200491.326321,201154.040572
"cod",180876022,311347.954392,312377.099792,313409.646982,314445.607206,315484.991745,316527.811919,317574.079084,318623.804634,319677,320733.676652,321793.846097,322857.519879,323924.709584,324995.426831,326069.683282,327147.490635,328228.860628,329313.805036,330402.335674,331494.464397,332590.203098
"cod",180876023,179298.484608,179891.146959,180485.768326,181082.355185,181680.914033,182281.451388,182883.973789,183488.487799,184095,184703.516998,185314.045418,185926.591911,186541.163145,187157.765815,187776.406635,188397.092342,189019.829694,189644.625475,190271.486488,190900.419558,191531.431537
"cod",180876024,260989.306583,266954.821512,273056.692097,279298.035064,285682.038376,292211.962867,298891.143902,305722.993085,312711,319858.733994,327169.846,334648.070399,342297.226934,350121.222652,358124.053909,366309.808406,374682.667276,383246.907222,392006.902704,400967.128166,410132.160328
"cod",180876025,61255.3241039,61457.8005748,61660.9463217,61864.7635569,62069.2545,62274.4213779,62480.2664249,62686.7918826,62894,63101.8930337,63310.4732477,63519.7429133,63729.7043095,63940.3597229,64151.7114473,64363.7617846,64576.5130438,64789.9675419,65004.1276034,65218.9955605,65434.573753
"cod",180876026,130818.061666,133808.211378,136866.707885,139995.113412,143195.025891,146468.079779,149815.946892,153240.33726,156743,160325.724207,163990.339872,167738.718813,171572.775634,175494.468702,179505.801145,183608.82188,187805.626655,192098.35912,196489.211926,200980.427839,205574.300892
"cod",180876027,220125.510846,225156.989102,230303.473444,235567.592602,240952.035393,246459.552092,252092.955837,257855.12407,263749,269777.594112,275943.985701,282251.324449,288702.832029,295301.803753,302051.610255,308955.699215,316017.597114,323240.911042,330629.330536,338186.629465,345916.66796
"cod",180876028,141149.603014,144375.904026,147675.949618,151051.425393,154504.055484,158035.603429,161647.873081,165342.709519,169122,172987.674916,176941.708783,180986.12125,185122.978128,189354.39245,193682.525544,198109.588141,202637.841505,207269.598585,212007.225199,216853.141238,221809.821909
"cod",180876029,668182.567452,683455.427223,699077.383569,715056.4159,731400.686014,748118.542268,765218.523837,782709.36508,800600,818899.566807,837617.412587,856763.098074,876346.402535,896377.328764,916866.108195,937823.206122,959259.327049,981185.420155,1003612.68489,1026552.57669,1050016.81284
"cod",180876030,461301.359833,471845.470566,482630.591364,493662.231072,504946.024449,516487.735052,528293.258175,540368.623866,552720,565353.695436,578276.163234,591494.003956,605013.969034,618842.96422,632988.053112,647456.460764,662255.577375,677392.962064,692876.34673,708713.640006,724912.93129
