"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"lso",426650327,28839.0226304,28726.9353757,28615.2837653,28504.0661058,28393.2807107,28282.9259,28173,28063.5013438,27954.4282708,27845.7791269,27737.5522644,27629.7460421,27522.3588252,27415.388985,27308.8348994,27202.6949525,27096.9675346,26991.6510425,26886.743879,26782.2444531,26678.1511802
"lso",426650328,23621.8139925,23793.848806,23967.1365282,24141.686284,24317.5072645,24494.608728,24673,24852.690474,25033.6896121,25216.0069449,25399.6520729,25584.634666,25770.9644651,25958.6512815,26147.7049983,26338.1355704,26529.9530253,26723.1674636,26917.7890593,27113.8280605,27311.29479
"lso",426650329,26432.6237847,26273.4767956,26115.2880075,25958.0516511,25801.7619919,25646.4133301,25492,25338.5163702,25185.9568429,25034.3158545,24883.5878744,24733.7674056,24584.8489841,24436.8271788,24289.6965912,24143.4518556,23998.0876383,23853.5986378,23709.9795846,23567.2252409,23425.3304003
"lso",426650330,24917.5416479,24624.4676723,24334.8407605,24048.6203689,23765.7664309,23486.2393512,23210,22937.0097079,22667.2302602,22400.6238918,22137.1532817,21876.7815479,21619.4722422,21365.189345,21113.8972605,20865.5608115,20620.1452346,20377.6161751,20137.9396825,19901.0822057,19667.010588
"lso",426650331,19392.0810459,19275.3241422,19159.2702148,19043.9150313,18929.2543846,18815.284093,18702,18589.3979741,18477.4739086,18366.2237216,18255.6433559,18145.7287784,18036.4759807,17927.8809782,17819.9398105,17712.6485409,17606.0032564,17500.0000676,17394.6351087,17289.9045369,17185.8045327
"lso",426650332,23055.4444474,22916.6309646,22778.6532577,22641.5062946,22505.1850734,22369.6846224,22235,22101.1262941,21968.0586224,21835.7921318,21704.3219986,21573.6434279,21443.7516539,21314.6419394,21186.3095758,21058.7498827,20931.958208,20805.9299275,20680.660445,20556.1451919,20432.379627
"lso",426650333,22408.4196066,22273.5017664,22139.396247,22006.0981575,21873.6026364,21741.9048516,21611,21480.8833075,21351.5500288,21222.9954469,21095.2148735,20968.2036483,20841.9571393,20716.4707422,20591.7398805,20467.7600052,20344.5265947,20222.0351546,20100.2812178,19979.2603437,19858.9681187
"lso",426650334,32104.0140215,31726.4145313,31353.2562732,30984.4870104,30620.0551207,30259.9095889,29904,29552.2765318,29204.6899483,28861.1915924,28521.7333794,28186.2677901,27854.7478643,27527.127194,27203.3599172,26883.4007113,26567.2047865,26254.7278802,25945.9262501,25640.7566686,25339.1764164
"lso",426650335,18315.0909312,18099.6733515,17886.7894603,17676.4094568,17468.5038911,17263.0436593,17060,16859.3444901,16661.0490409,16465.0858937,16271.4276168,16080.0471007,15890.917555,15704.0125044,15519.3057848,15336.7715401,15156.3842181,14978.1185673,14801.9496331,14627.8527544,14455.8035602
"lso",426650336,19415.499384,19187.1390717,18961.464677,18738.4446089,18518.0476477,18300.2429413,18085,17872.2886931,17662.0792441,17454.3422267,17249.0485609,17046.1695086,16845.6766695,16647.5419778,16451.7376974,16258.2364186,16067.0110542,15878.0348352,15691.281308,15506.7243296,15324.3380648
"lso",426650337,27243.9661525,26923.529346,26606.8614381,26293.9181,25984.6555243,25679.0304186,25377,25078.5219886,24783.554602,24492.056549,24203.9870241,23919.3057019,23637.9727311,23359.9487294,23085.1947773,22813.6724134,22545.3436285,22280.1708606,22018.1169893,21759.145331,21503.2196335
"lso",426650338,22869.1715719,22600.1900196,22334.372162,22071.6807884,21812.0791259,21555.5308341,21302,21051.451133,20803.8491599,20559.1594202,20317.3476608,20078.3800316,19842.2230807,19608.8437496,19378.2093685,19150.2876522,18925.0466948,18702.454966,18482.4813062,18265.0949222,18050.2653833
"lso",426650339,23630.9232721,23488.644915,23347.2231951,23206.652955,23066.9290678,22928.0464378,22790,22652.7847197,22516.3955928,22380.8276449,22246.075932,22112.1355395,21979.0015828,21846.6692062,21715.1335837,21584.389918,21454.4334409,21325.259413,21196.8631231,21069.2398886,20942.3850551
"lso",426650340,24188.6240285,24094.6112565,24000.9638794,23907.6804771,23814.7596349,23722.1999438,23630,23538.1584053,23446.673767,23355.5446977,23264.7698153,23174.3477434,23084.2771107,22994.5565511,22905.1847042,22816.1602146,22727.4817323,22639.1479123,22551.1574152,22463.5089066,22376.2010573
"lso",426650341,24789.1392131,24639.887406,24491.5342223,24344.0742516,24197.502116,24051.8124699,23907,23763.059425,23619.9854952,23477.7729928,23336.4167313,23195.9115552,23056.2523405,22917.4339935,22779.4514517,22642.2996827,22505.9736846,22370.4684856,22235.7791436,22101.9007467,21968.8284121
"lso",426650342,22439.2224854,22352.0090289,22265.1345408,22178.5977037,22092.3972051,22006.531738,21921,21835.8006942,21750.9325284,21666.3942157,21582.1844741,21498.3020264,21414.7456006,21331.5139296,21248.6057512,21166.0198081,21083.7548478,21001.8096228,20920.1828904,20838.8734127,20757.8799567
"lso",426650343,24709.415042,24889.3707224,25070.6369982,25253.2234144,25437.1395854,25622.3951956,25809,25996.9638246,26186.296567,26377.0081969,26569.1087565,26762.6083612,26957.5172001,27153.8455366,27351.6037085,27550.8021293,27751.4512881,27953.5617504,28157.1441588,28362.2092333,28568.7677718
"lso",426650344,15861.167771,15976.682737,16093.0389845,16210.2426404,16328.2998765,16447.216909,16567,16687.6554567,16809.1896325,16931.608927,17054.9197864,17179.1287039,17304.2422199,17430.2669226,17557.2094478,17685.0764801,17813.8747526,17943.6110473,18074.2921957,18205.9250791,18338.5166289
"lso",426650345,24717.0742043,24897.0856655,25078.4081283,25261.0511407,25445.0243201,25630.3373538,25817,26005.0220876,26194.4135174,26385.184262,26577.3443669,26770.9039506,26965.8732053,27162.2623975,27360.0818684,27559.3420346,27760.0533885,27962.2264989,28165.8720116,28371.00065,28577.6232154
