"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"mdg",450652457,205983.635244,212724.84518,219686.674155,226876.342349,234301.306238,241969.266325,249888.175129,258066.245426,266511.958776,275234.07431,284241.637821,293543.991141,303150.781834,313071.973196,323317.854594,333899.052132,344826.539674,356111.650226,367766.087688,379801.938991,392231.686636
"mdg",450652458,110338.311614,113949.344703,117678.555782,121529.812454,125507.108895,129614.569998,133856.455651,138237.165157,142761.241792,147433.377521,152258.417861,157241.36691,162387.392534,167701.831727,173190.196145,178858.177826,184711.65509,190756.698635,196999.577837,203446.767246,210104.953307
"mdg",450652459,135949.346289,140398.549659,144993.361751,149738.547891,154639.029357,159699.888489,164926.373951,170323.906185,175898.083024,181654.685502,187599.683849,193739.24368,200079.732395,206627.725776,213390.014811,220373.612739,227585.762317,235033.943336,242725.88038,250669.550831,258873.193149
"mdg",450652460,142566.826951,147232.600081,152051.069594,157027.232773,162166.250446,167473.452339,172954.342603,178614.605525,184460.111417,190496.922713,196731.300249,203169.709759,209818.828581,216685.552583,223777.003312,231100.53538,238663.744096,246474.473338,254540.823691,262871.160846,271474.124277
"mdg",450652461,188008.249427,194161.180352,200515.477754,207077.731738,213854.748083,220853.555299,228081.411919,235545.814023,243254.503018,251215.473659,259436.98235,267927.555697,276695.999358,285751.407173,295103.170594,304760.988428,314734.876892,325035.180006,335672.580315,346658.109973,358003.162179
"mdg",450652462,87357.8510882,90216.8044856,93169.322622,96218.4675829,99367.4016669,102619.390664,105977.807246,109446.134457,113027.969336,116727.026637,120547.142691,124492.279377,128566.528236,132774.114711,137119.402531,141606.898238,146241.255857,151027.281728,155969.939483,161074.355204,166345.822728
"mdg",450652463,19071.9919762,20245.8487393,21491.9548878,22814.7572792,24218.9764695,25709.6235585,27292.0180733,28971.8069508,30754.9846895,32647.9147421,34657.3522234,36790.4680168,39054.8743646,41458.6520329,44010.3791485,46719.1618112,49594.6665892,52647.1550162,55887.5202097,59327.3257448,62978.8469202
"mdg",450652464,30935.2989455,32839.3271104,34860.5457786,37006.1678759,39283.8502748,41701.7211181,44268.4088257,46993.0728856,49885.4365407,52955.821487,56215.1847078,59675.1575746,63348.0873552,67247.0812756,71386.0532953,75779.7737599,80443.9221111,85395.14284,90651.1048852,96230.5646856,102153.433115
"mdg",450652465,8222.86463473,8728.9714575,9266.22850923,9836.55304674,10441.9803316,11084.6708931,11766.9182383,12491.1570368,13259.9718089,14076.106149,14942.472516,15862.1626271,16838.4584907,17874.8441185,18975.0179589,20142.906095,21382.6762551,22698.7526862,24095.8319418,25578.8996424,27153.248267
"mdg",450652466,12298.7611809,13055.7342337,13859.2980117,14712.3201146,15617.8446392,16579.1030424,17599.5256735,18682.754015,19832.6536783,21053.3281982,22349.1336768,23724.6943286,25184.9189828,26735.0186006,28380.5248715,30127.309953,31981.6074267,33950.0345431,36039.6158361,38257.8081906,40612.5274532
"mdg",450652467,23528.0648679,24976.1872298,26513.4396746,28145.3080454,29877.6158315,31716.5449507,33668.6578101,35740.9207243,37940.7287759,40275.9322053,42754.8644251,45386.371759,48179.8450105,51145.2529752,54293.178015,57634.8538231,61182.205512,64947.8921695,68945.3520343,73188.8504516,77693.5307801
"mdg",450652468,4910.70513856,5212.95277192,5533.80336132,5874.40189497,6235.96383364,6619.77944814,7027.21842382,7459.73474841,7918.87190072,8406.26835872,8923.66344661,9472.90354176,10055.9486637,10674.8794688,11331.9046749,12029.3689438,12769.7612483,13555.723754,14390.0612488,15275.7511515,16215.9541372
"mdg",450652469,3505.06796819,3720.80042783,3949.81094501,4192.91676722,4450.98544248,4724.93791532,5015.75181319,5324.46493529,5652.17895602,6000.06335643,6369.35959766,6761.38555117,7177.54020175,7619.3086399,8088.26736156,8586.08989396,9114.55276782,9675.54185705,10271.0591087,10903.229687,11574.3095576
"mdg",450652470,2696.20612937,2862.15417525,3038.31611155,3225.32059017,3423.83495576,3634.56762717,3858.27062553,4095.74225791,4347.82996617,4615.4333511,4899.50738282,5201.0658086,5521.18477058,5861.00664608,6221.74412427,6604.68453381,7011.19443678,7442.72450542,7900.81469899,8387.09975927,8903.31504433
"mdg",450652471,3035.77016491,3222.61794377,3420.96596492,3631.52205361,3855.03760081,4092.31024465,4344.18671686,4611.56586446,4895.4018573,5196.70759323,5516.55831262,5856.09543554,6216.53063499,6599.15016092,7005.3194303,7436.48789979,7894.19423824,8380.07181761,8895.85454183,9443.38303439,10024.6112068
"mdg",450652472,7374.51860574,7828.41081324,8310.23950677,8821.72414139,9364.69000242,9941.07471916,10552.9351795,11202.4548703,11891.951669,12623.8861155,13400.8701931,14225.6766489,15101.2488892,16030.7114834,17017.381314,18064.7794132,19176.6435286,20356.9414611,21609.8852248,22939.946078,24351.870479
"mdg",450652473,3857.04132064,4094.43729088,4346.44468007,4613.96280242,4897.94632374,5199.40866832,5519.42563544,5859.13923841,6219.76178005,6602.58017884,7008.96056144,7440.3531379,7898.29737682,8384.42749914,8900.47831,9448.29138959,10029.821665,10647.1443866,11302.4625338,11998.1146765,12736.5833207
"mdg",450652474,1632.38923398,1732.86070778,1839.51607255,1952.7359389,2072.92434351,2200.51019101,2335.94878458,2479.72345071,2632.34726403,2794.36487826,2966.35446985,3148.92980127,3342.74241131,3548.48394012,3766.88859742,3998.73578261,4244.85286612,4506.11814199,4783.46396211,5077.88006346,5390.41710006
"mdg",450652475,3579.52386967,3799.83899501,4033.71423512,4281.98419774,4545.53485967,4825.30672845,5122.29819867,5437.5691148,5772.24455341,6127.51883809,6504.65980154,6905.01330991,7330.00806571,7781.16070628,8260.08121603,8768.47867188,9308.16734222,9881.07316138,10489.2406025,11134.8399733,11820.1751614
"mdg",450652476,4259.78006047,4521.96408609,4800.28520385,5095.73663116,5409.37271671,5742.31270301,6095.74472051,6470.93002757,6869.2075114,7291.99846601,7740.81166423,8217.24874195,8723.00991368,9259.90004,9829.83506831,10434.8488702,11077.1004993,11758.8818964,12482.6260684,13250.9157703,14066.4927228
"mdg",450652477,3299.75017926,3502.84559105,3718.44126622,3947.30658001,4190.25826175,4448.1633094,4721.94208355,5012.5715918,5321.08897533,5648.59521003,5996.25903545,6365.32112558,6757.09851629,7172.98930535,7614.47764163,8083.13902151,8580.64591113,9108.77371479,9669.40711068,10264.5467765,10896.3165291
"mdg",450652478,2481.86338269,2634.61890609,2796.77633699,2968.91435078,3151.64723961,3345.62710451,3551.5461825,3770.13931691,4002.18657973,4248.51605541,4510.0067959,4787.5919577,5082.26213191,5395.06887924,5727.1284826,6079.62593071,6453.81914683,6851.04347779,7272.71645932,7720.34287464,8195.52012448
