"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"nam",516657575,781.701785873,789.261617967,796.894561141,804.601322451,812.382615791,820.239161961,828.17168873,836.180930905,844.267630402,852.432536308,860.676404958,869,877.404092467,885.889460849,894.456891165,903.107177035,911.841119754,920.659528368,929.563219745,938.553018655,947.629757842
"nam",516657576,106.096337395,106.087575833,106.078814995,106.07005488,106.061295489,106.052536821,106.043778876,106.035021655,106.026265156,106.017509381,106.008754329,106,105.991246394,105.982493511,105.97374135,105.964989912,105.956239198,105.947489205,105.938739935,105.929991388,105.921243564
"nam",516657577,89.080887058,89.0735306523,89.0661748542,89.0588196635,89.0514650802,89.0441111042,89.0367577355,89.0294049741,89.0220528199,89.0147012729,89.0073503329,89,88.9926502741,88.9853011551,88.9779526431,88.9706047379,88.9632574394,88.9559107478,88.9485646628,88.9412191845,88.9338743128
"nam",516657578,644.869734691,647.465078818,650.070868172,652.687144792,655.313950884,657.951328826,660.599321165,663.257970619,665.92732008,668.60741261,671.298291447,674,676.712581855,679.436080774,682.170540691,684.916005723,687.672520158,690.440128468,693.2188753,696.008805482,698.809964024
"nam",516657579,942.610577879,946.823296179,951.054841973,955.305299406,959.574752998,963.863287645,968.170988626,972.497941598,976.844232603,981.209948065,985.595174798,990,994.424511262,998.868796564,1003.33294428,1007.81704318,1012.32118243,1016.84545159,1021.38994064,1025.95473992,1030.53994023
"nam",516657580,4788.74138472,4808.70706767,4828.75599347,4848.8885092,4869.10496335,4889.40570589,4909.79108825,4930.26146331,4950.81718544,4971.45861047,4992.18609572,5013,5033.90068362,5054.88850839,5075.96383763,5097.12703616,5118.37847035,5139.71850807,5161.14751873,5182.66587329,5204.27394425
"nam",516657581,210.93709006,211.123798813,211.310672829,211.497712254,211.684917236,211.87228792,212.059824453,212.247526982,212.435395655,212.623430617,212.811632016,213,213.188534716,213.377236311,213.566104934,213.755140731,213.944343852,214.133714444,214.323252655,214.512958634,214.702832529
"nam",516657582,160.222255139,159.740321631,159.259837733,158.780799086,158.303201342,157.827040167,157.352311241,156.879010254,156.407132913,155.936674934,155.467632048,155,154.533774545,154.068951452,153.605526504,153.143495494,152.682854231,152.223598533,151.765724233,151.309227176,150.854103219
"nam",516657583,301.838054843,300.930154298,300.024984633,299.122537633,298.222805109,297.325778896,296.431450853,295.539812866,294.650856842,293.764574714,292.88095844,292,291.121691401,290.246024671,289.372991865,288.50258506,287.634796357,286.769617881,285.90704178,285.047060228,284.189665419
"nam",516657584,333.882505871,332.878218624,331.876952179,330.87869745,329.883445377,328.891186929,327.901913101,326.915614917,325.932283424,324.951909701,323.974484849,323,322.02844631,321.059814962,320.094097166,319.131284159,318.171367203,317.214337587,316.260186627,315.308905663,314.360486062
"nam",516657585,284.265291376,283.410248055,282.557776623,281.707869346,280.86051851,280.015716426,279.173455427,278.33372787,277.496526135,276.661842624,275.829669763,275,274.172825806,273.348139673,272.52593412,271.706201683,270.888934925,270.074126429,269.2617688,268.451854666,267.644376679
"nam",516657586,241.883920662,241.156356526,240.430980836,239.707787007,238.986768478,238.267918704,237.551231163,236.836699351,236.124316784,235.414076997,234.705973544,234,233.296149958,232.594417031,231.894794851,231.197277069,230.501857355,229.808529398,229.117286906,228.428123607,227.741033246
"nam",516657587,258.42299216,257.64568005,256.870706021,256.098063042,255.3277441,254.559742205,253.794050388,253.0306617,252.269569214,251.510766022,250.754245239,250,249.24802346,248.498308794,247.7508492,247.005637894,246.262668114,245.521933117,244.783426182,244.047140606,243.313069708
"nam",516657588,294.602211062,293.716075257,292.832604864,291.951791868,291.073628274,290.198106114,289.325217442,288.454954338,287.587308904,286.722273265,285.859839573,285,284.142746744,283.288072025,282.435968088,281.586427199,280.73944165,279.895003753,279.053105847,278.213740291,277.376899467
"nam",516657589,241.883920662,241.156356526,240.430980836,239.707787007,238.986768478,238.267918704,237.551231163,236.836699351,236.124316784,235.414076997,234.705973544,234,233.296149958,232.594417031,231.894794851,231.197277069,230.501857355,229.808529398,229.117286906,228.428123607,227.741033246
"nam",516657590,321.478202247,320.511225982,319.54715829,318.585990424,317.62771366,316.672319303,315.719798683,314.770143155,313.823344102,312.879392932,311.938281078,311,310.064541184,309.13189614,308.202056405,307.27501354,306.350759134,305.429284798,304.51058217,303.594642914,302.681458716
"nam",516657591,364.89326493,363.79570023,362.701436902,361.610465015,360.522774669,359.438355994,358.357199148,357.279294321,356.20463173,355.133201623,354.064994278,353,351.938209125,350.879612017,349.82419907,348.771960706,347.722887377,346.676969561,345.634197768,344.594562535,343.558054427
"nam",516657592,343.185733589,342.153463106,341.124297596,340.098227719,339.075244165,338.055337649,337.038498915,336.024718738,335.013987916,334.006297277,333.001637678,332,331.001375154,330.005754079,329.013127737,328.023487123,327.036823255,326.053127179,325.072389969,324.094602724,323.119756572
"nam",516657593,439.319086672,437.997656084,436.680200236,435.366707171,434.05716497,432.751561749,431.44988566,430.15212489,428.858267663,427.568302238,426.282216907,425,423.721639881,422.44712495,421.17644364,419.90958442,418.646535794,417.387286299,416.131824509,414.88013903,413.632218503
"nam",516657594,256.355608223,255.584514609,254.815740373,254.049278537,253.285122147,252.523264268,251.763697985,251.006416407,250.25141266,249.498679894,248.748211277,248,247.254039272,246.510322324,245.768842406,245.029592791,244.292566769,243.557757652,242.825158772,242.094763481,241.36656515
"nam",516657595,486.86891723,485.404461213,483.944410144,482.488750771,481.037469884,479.590554315,478.147990931,476.709766643,475.275868399,473.846283186,472.420998031,471,469.583276198,468.170813768,466.762599893,465.358621792,463.958866727,462.563321993,461.171974926,459.784812901,458.401823329
"nam",516657596,369.028032805,367.918031111,366.811368198,365.708034024,364.608018575,363.511311869,362.417903954,361.327784908,360.240944837,359.15737388,358.077062202,357,355.9261775,354.855584958,353.788212657,352.724050913,351.663090067,350.605320491,349.550732587,348.499316785,347.451063543
"nam",516657597,355.590037212,354.520455748,353.454091485,352.390934745,351.330975881,350.274205274,349.220613334,348.170190499,347.122927238,346.078814046,345.037841449,344,342.96528028,341.933672901,340.905168499,339.879757742,338.857431325,337.838179969,336.821994426,335.808865474,334.798783918
"nam",516657598,744.258217421,742.019558543,739.787633341,737.56242156,735.343903008,733.132057551,730.926865118,728.728305696,726.536359336,724.351006144,722.172226289,720,717.834307564,715.675129327,713.522445696,711.376237135,709.236484168,707.103167377,704.976267403,702.855764945,700.741640758
"nam",516657599,390.735564146,389.560268235,388.388507504,387.220271319,386.055549079,384.894330214,383.736604187,382.582360491,381.431588651,380.284278225,379.140418802,378,376.863011471,375.729442897,374.59928399,373.472524496,372.349154188,371.229162873,370.112540387,368.999276596,367.889361398
"nam",516657600,292.534827125,291.654909816,290.777639216,289.903007363,289.031006321,288.161628176,287.294865039,286.430709045,285.56915235,284.710187137,283.853805611,283,282.148762556,281.300085555,280.453961294,279.610382096,278.769340305,277.930828289,277.094838438,276.261363166,275.430394909
"nam",516657601,202.603625853,201.994213159,201.386633521,200.780881425,200.176951374,199.574837889,198.974535504,198.376038773,197.779342264,197.184440561,196.591328268,196,195.410450392,194.822674095,194.236665773,193.652420109,193.069931801,192.489195564,191.910206126,191.332958235,190.757446651
"nam",516657602,189.165630261,188.596637796,188.029356807,187.463782147,186.899908681,186.337731294,185.777244884,185.218444365,184.661324664,184.105880728,183.552107515,183,182.449553172,181.900762037,181.353621614,180.808126938,180.264273059,179.722055042,179.181467965,178.642506923,178.105167026
"nam",516657603,259.456684129,258.67626277,257.898188845,257.122455294,256.349055076,255.577981174,254.80922659,254.042784347,253.278647491,252.516809086,251.75726222,251,250.245015553,249.492302029,248.741852597,247.993660446,247.247718786,246.50402085,245.762559886,245.023329168,244.286321987
"nam",516657604,242.91761263,242.186939247,241.45846366,240.732179259,240.008079454,239.286157673,238.566407365,237.848821998,237.133395061,236.420120061,235.708990525,235,234.293142052,233.588410266,232.885798248,232.18529962,231.486908027,230.79061713,230.096420611,229.404312169,228.714285525
"nam",516657605,234.648076881,233.942277485,233.238601067,232.537041242,231.837591643,231.140245922,230.444997752,229.751840824,229.060768846,228.371775548,227.684854677,227,226.317205301,225.636464385,224.957771073,224.281119208,223.606502647,222.93391527,222.263350973,221.59480367,220.928267295
"nam",516657606,255.321916254,254.553931889,253.788257549,253.024886285,252.263811171,251.505025299,250.748521783,249.99429376,249.242334383,248.49263683,247.745194296,247,246.257047178,245.516329089,244.777839009,244.041570239,243.307516096,242.57566992,241.846025067,241.118574918,240.393312871
"nam",516657607,231.547000975,230.850529324,230.156152595,229.463864485,228.773658714,228.085529016,227.399469148,226.715472883,226.033534016,225.353646356,224.675803734,224,223.32622902,222.654484679,221.984760883,221.317051553,220.65135063,219.987652073,219.325949859,218.666237983,218.008510458
"nam",516657608,190.19932223,189.627220517,189.056839632,188.488174399,187.921219658,187.355970263,186.792421086,186.230567011,185.670402941,185.111923792,184.555124496,184,183.446545266,182.894755272,182.344625011,181.79614949,181.249323732,180.704142774,180.16060167,179.618695486,179.078419305
"nam",516657609,143.683183641,143.250998108,142.820112548,142.390523051,141.96222572,141.535216666,141.109492016,140.685047905,140.261880483,139.839985908,139.419360353,139,138.581901044,138.165059689,137.749472155,137.335134669,136.922043471,136.510194813,136.099584957,135.690210177,135.282066758
"nam",516657610,85.7964333971,85.5383657765,85.281074399,85.0245569298,84.7688110412,84.5138344121,84.2596247289,84.0061796845,83.753496979,83.5015743194,83.2504094195,83,82.7503437886,82.5014385196,82.2532819344,82.0058717808,81.7592058138,81.5132817949,81.2680974923,81.0236506811,80.779939143
"nam",516657611,257.389300191,256.615097329,255.843223197,255.07367079,254.306433124,253.541503236,252.778874187,252.018539053,251.260490937,250.504722958,249.751228258,249,248.251031366,247.504315559,246.759845803,246.017615342,245.277617441,244.539845385,243.804292477,243.070952043,242.339817429
"nam",516657612,304.939130749,304.021902459,303.107433105,302.195714389,301.286738038,300.380495802,299.476979458,298.576180806,297.678091672,296.782703906,295.890009382,295,294.112667682,293.228004377,292.346002056,291.466652715,290.589948374,289.715881078,288.844442894,287.975625915,287.109422255
"nam",516657613,305.972822717,305.052485179,304.134915929,303.220106641,302.308049014,301.398734771,300.49215566,299.588303453,298.687169949,297.78874697,296.893026363,296,295.109659776,294.221997612,293.337005453,292.454675267,291.574999047,290.697968811,289.823576599,288.951814477,288.082674534
