"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"sen",686109222,184843.421482,190213.232146,195739.038985,201425.373779,207276.899961,213298.416437,219494.861526,225871.317008,232433.012291,239185.328702,246133.803895,253284.136401,260642.190293,268214,276005.775255,284023.906188,292274.968564,300765.72918,309503.15141,318494.400922,327746.851548
"sen",686109223,640760.526199,659374.998272,678530.231763,698241.93611,718526.277121,739399.89023,760879.894139,782983.904859,805730.050158,829136.984424,853223.903967,878010.562763,903517.288649,929765,956775.222882,984570.108707,1013172.4524,1042605.71108,1072894.02332,1104062.22894,1136135.88936
"sen",686109224,233791.291506,240583.066731,247572.14704,254764.264265,262165.316746,269781.374177,277618.682579,285683.669422,293982.948902,302523.327356,311311.808853,320355.600933,329662.120519,339239,349094.093492,359235.483275,369671.486427,380410.66164,391461.816241,402834.013417,414536.579642
"sen",686109225,192578.597732,198173.119839,203930.166121,209854.458,215950.854061,222224.354031,228680.102884,235323.395058,242159.678796,249194.560618,256433.809916,263883.363686,271549.331396,279438,287555.83909,295909.506205,304505.852288,313351.927306,322454.986033,331822.493997,341462.133605
"sen",686109226,806866.958026,830306.920138,854427.827006,879249.460477,904792.177074,931076.924688,958125.259758,985959.364951,1014602.06736,1044076.8572,1074407.90711,1105620.09195,1137739.00921,1170791,1204803.17067,1239803.415,1275820.43711,1312883.77501,1351023.82479,1390271.86556,1430660.08512
"sen",686109227,338168.618568,347992.616846,358102.008082,368505.08311,379210.373617,390226.659141,401562.974273,413228.61606,425233.151637,437586.42607,450298.570427,463380.010093,476841.473314,490694,504948.950775,519618.016296,534713.226843,550246.96218,566231.96171,582681.334927,599608.57216
"sen",686109228,206388.75426,212384.469578,218554.363971,224903.497443,231437.076996,238160.460898,245079.163076,252198.857642,259525.383544,267064.749355,274823.1382,282806.912827,291022.620826,299477,308176.983886,317129.707448,326342.512921,335822.955839,345578.811229,355618.079985,365948.995433
"sen",686109229,79379.9720243,81686.0071373,84059.0339335,86500.9985609,89013.9037043,91599.8102277,94260.8388642,96999.1719557,99817.0552423,102716.799704,105700.783457,108771.453701,111931.328732,115183,118529.134241,121972.475659,125515.848181,129162.15777,132914.394808,136775.636549,140749.049646
"sen",686109230,789819.10923,812763.821256,836375.09073,860672.281541,885675.320108,911404.711726,937881.55738,965127.571052,993165.097529,1022017.13072,1051707.33254,1082260.05227,1113700.34657,1146054,1179347.54619,1213608.28958,1248864.32782,1285144.57481,1322478.78443,1360897.5749,1400432.45395
"sen",686109231,227189.100801,233789.078483,240580.789417,247569.80357,254761.852715,262162.835139,269778.820478,277616.054693,285680.965196,293980.166115,302520.463728,311308.862035,320352.568508,329659,339235.788829,349090.789034,359232.082821,369667.987188,380407.060746,391458.110739,402830.200267
