"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"zmb",894279600,44319.9990897,47040.6674418,49928.3492514,52993.2969607,56246.3923776,59699.185311,63363.9345768,67253.651522,71382.1462201,75764.0765026,80415,85351.429378,90590.8909639,96151.9869725,102054.461551,108319.27088,114968.657573,122026.229653,129517.044364,137467.697137,145906.416016
"zmb",894279601,73852.0002737,77700.3961284,81749.3302297,86009.2525393,90491.1575616,95206.6127199,100167.788211,105387.488415,110879.184944,116657.051408,122736,129131.719979,135860.718165,142940.361541,150388.922078,158225.623889,166470.692849,175145.408793,184272.160441,193874.503176,203977.219847
"zmb",894279602,80455.0017607,82355.8361199,84301.5796977,86293.2935219,88332.0636879,90419.0019516,92555.2463351,94741.9617475,96980.3406203,99271.6035572,101617,104017.80891,106475.339465,108990.931774,111565.957608,114201.821145,116899.959742,119661.844711,122488.982129,125382.913652,128345.217364
"zmb",894279603,71901.9998974,73474.1393335,75080.6536465,76722.2944444,78399.8297687,80114.0444544,81865.7404969,83655.7374271,85484.8726952,87354.0020621,89264,91215.7601015,93210.1954975,95248.2392848,97330.844962,99458.9868763,101633.660679,103855.883791,106126.69588,108447.159345,110818.359814
"zmb",894279604,83308.9999752,83845.0115048,84384.4717417,84927.4028751,85473.8272366,86023.7673018,86577.2456908,87134.2851692,87694.9086491,88259.1391901,88827,89398.5144361,89973.7060058,90552.5983679,91135.2153334,91721.5808663,92311.7190852,92905.6542634,93503.4108307,94105.013374,94710.4866383
"zmb",894279605,43110.9981076,45160.7398811,47307.9380236,49557.2261646,51913.4582425,54381.7189797,56967.334855,59675.8855986,62513.2162324,65485.4496841,68599,71860.5861867,75277.2467106,78856.3546866,82605.6337895,86533.1749215,90647.4536722,94957.3486089,99472.1604363,104201.632068,109155.96965
"zmb",894279606,24512.9989809,25053.0813335,25605.0630441,26169.2062849,26745.7790049,27335.0550564,27937.3143253,28552.8428642,29181.9330282,29824.8836136,30482,31153.5942952,31839.9854835,32541.4995774,33258.4697721,33991.2366038,34740.1481119,35505.5600037,36287.8358238,37087.3471263,37904.4736519
"zmb",894279607,30479.9991187,31608.8309656,32779.4692881,33993.462396,35252.4159409,36557.9950401,37911.9264789,39316.0009942,40772.0756431,42282.0762593,43848,45471.9179874,47155.978048,48902.4075537,50713.5163672,52591.6998973,54539.4422676,56559.3196011,58654.0034283,60826.26422,63078.9750523
"zmb",894279608,18947.9992817,19425.6159915,19915.2718468,20417.2703149,20931.9225125,21459.5473984,22000.4719714,22555.0314729,23123.5695945,23706.4386913,24304,24916.6238629,25544.6899574,26188.5875314,26848.7156443,27525.4834147,28219.3102735,28930.6262243,29659.8721094,30407.4998836,31173.9728938
"zmb",894279609,67450.9992978,66753.0839856,66062.3900013,65378.8426258,64702.3679132,64032.8926827,63370.3445106,62714.6517228,62065.7433865,61423.549303,60788,60159.026724,59536.5614328,58920.5367883,58310.8861493,57707.5435637,57110.4437624,56519.5221511,55934.7148041,55355.9584572,54783.1905008
"zmb",894279610,93189.139991,97082.8658375,101139.283399,105365.190429,109767.668715,114354.095941,119132.158052,124109.862139,129295.549849,134697.911373,140326,146189.247297,152297.478907,158660.931022,165290.267531,172196.597892,179391.495752,186887.018339,194695.726668,202830.706594,211305.590736
"zmb",894279611,104191.001286,105552.843726,106932.486309,108330.161696,109746.105586,111180.556761,112633.757121,114105.951732,115597.388859,117108.320016,118639,120189.686942,121760.642346,123352.131132,124964.421686,126597.7859,128252.499219,129928.84069,131627.093008,133347.542559,135090.479477
"zmb",894279612,64442.9994134,66099.9337019,67799.4704648,69542.705081,71330.7610935,73164.790933,75045.9766616,76975.5307338,78954.6967783,80984.7503996,83067,85202.787623,87393.4898183,89640.5185287,91945.3220006,94309.3857169,96734.2333549,99221.4277682,101772.571994,104389.310285,107073.329172
"zmb",894279613,70923.0005898,73189.8544524,75529.161911,77943.2387407,80434.4747337,83005.3360652,85658.3677349,88396.196086,91221.5314056,94137.1706072,97146,100250.998146,103455.238808,106761.893994,110174.237095,113695.646128,117329.607078,121079.717349,124949.689328,128943.354057,133064.665024
