"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"zwe",716279750,161519.930502,164394.994411,167321.23462,170299.56207,173330.903918,176416.203823,179556.42224,182752.536723,186005.542225,189316.451409,192686.294964,196116.121925,199607,203160.015903,206776.275689,210456.905105,214203.049933,218015.876351,221896.571295,225846.342828,229866.420519
"zwe",716279751,145029.564891,146743.887778,148478.474829,150233.565578,152009.402388,153806.230488,155624.298006,157463.856002,159325.158506,161208.462547,163114.028196,165042.118596,166993,168966.94181,170964.216612,172985.100213,175029.871682,177098.813385,179192.211026,181310.353687,183453.533867
"zwe",716279752,62101.1386091,63017.8332743,63948.0595612,64892.0172142,65849.9089264,66821.940383,67808.3203052,68809.2604953,69824.9758819,70855.6845666,71901.6078701,72962.9703802,74040,75132.9279967,76241.9890513,77367.421309,78509.4664303,79668.369643,80844.3797947,82037.7494065,83248.7347268
"zwe",716279753,102991.098203,104511.382571,106054.108341,107619.606777,109208.214033,110820.271226,112456.124508,114116.125142,115800.629572,117509.999509,119244.601999,121004.809508,122791,124603.557018,126442.869768,128309.333198,130203.348088,132125.321135,134075.665037,136054.798587,138063.146756
"zwe",716279754,178423.348334,181057.112146,183729.753784,186441.847135,189193.974559,191986.727012,194820.704172,197696.514571,200614.775722,203576.114255,206581.166048,209630.576366,212725,215865.101406,219051.554848,222285.044543,225566.264808,228895.920209,232274.725714,235703.406841,239182.699821
"zwe",716279755,107826.147275,109745.458803,111698.934183,113687.181537,115710.819805,117770.47895,119866.800144,122000.435974,124172.050642,126382.320175,128631.93263,130921.588315,133252,135623.893145,138038.006123,140495.090448,142995.911013,145541.246326,148131.888752,150768.64476,153452.335174
"zwe",716279756,91123.6624654,92745.6688171,94396.5469736,96076.8108549,97786.9835283,99527.5973722,101299.194241,103102.325635,104937.552869,106805.447252,108706.590261,110641.573723,112611,114615.482176,116655.644249,118732.121322,120845.559805,122996.617612,125185.96437,127414.281625,129682.263052
"zwe",716279757,205933.553196,210175.578414,214504.985109,218923.573251,223433.179889,228035.679914,232732.986836,237527.053582,242419.873308,247413.480226,252509.950452,257711.402868,263020,268437.948924,273967.502176,279610.958695,285370.664773,291249.015036,297248.453434,303371.474263,309620.623196
"zwe",716279758,129541.651528,130311.823811,131086.575049,131865.932465,132649.923445,133438.575536,134231.916452,135029.974068,135832.776427,136640.351738,137452.728379,138269.934894,139092,139918.952582,140750.821698,141587.63658,142429.42663,143276.221428,144128.05073,144984.944468,145846.93275
"zwe",716279759,311561.621591,315104.607466,318687.88312,322311.906716,325977.141629,329684.0565,333433.125302,337224.827396,341059.647597,344938.076229,348860.609196,352827.748038,356840,360897.878095,365001.901171,369152.593973,373350.487216,377596.11765,381890.028127,386232.767674,390624.891561
"zwe",716279760,71424.974672,72129.3238328,72840.6188517,73558.9282245,74284.3211225,75016.8673989,75756.6375961,76503.7029519,77258.1354066,78020.0076101,78789.3929286,79566.3654518,80351,81143.3721314,81943.5581494,82751.6351096,83567.6808276,84391.7738865,85223.9936442,86064.4202412,86913.1346083
"zwe",716279761,97900.6262891,99643.2629805,101416.918704,103222.145599,105059.505636,106929.570785,108832.9232,110770.155395,112741.870434,114748.682111,116791.21515,118870.105393,120986,123139.557651,125331.44875,127562.355634,129832.972787,132144.007055,134496.177863,136890.217444,139326.871066
"zwe",716279762,101641.561984,102245.858077,102853.74693,103465.249904,104080.388485,104699.184289,105321.65906,105947.83467,106577.733121,107211.376549,107848.787217,108489.987524,109135,109783.84731,110436.552254,111093.137766,111753.626918,112418.042918,113086.409114,113758.74899,114435.086171
"zwe",716279763,261647.102293,264561.280328,267507.915951,270487.370668,273500.010011,276546.203586,279626.325113,282740.752476,285889.867767,289074.057333,292293.711826,295549.226248,298841,302169.436932,305534.945391,308937.938274,312378.833075,315858.051939,319376.021713,322933.173998,326529.945199
"zwe",716279764,81530.7184499,82981.9698549,84459.0536171,85962.4295539,87492.5656675,89049.9382905,90635.0322345,92248.3409403,93890.3666325,95561.620475,97262.6227306,98993.9029226,100756,102549.462505,104374.848745,106232.726962,108123.675518,110048.283064,112007.148734,114000.882324,116030.104484
"zwe",716279765,22144.1452518,22390.7827308,22640.1672135,22892.3292953,23147.2999127,23405.1103466,23665.7922265,23929.377534,24195.8986068,24465.3881431,24737.879205,25013.4052231,25292,25573.6977151,25858.5329283,26146.5405845,26437.7560179,26732.214956,27029.9535244,27331.008251,27635.4160707
"zwe",716279766,238444.429775,241100.180647,243785.51079,246500.749655,249246.230358,252022.289728,254829.268344,257667.51058,260537.364644,263439.182623,266373.320524,269340.138323,272340,275373.273593,278440.331239,281541.549217,284677.307999,287847.992294,291053.991097,294295.697734,297573.509912
"zwe",716279767,26542.8557431,26838.4852629,27137.4074507,27439.6589797,27745.2769315,28054.2988007,28366.7624996,28682.7063625,29002.1691509,29325.190058,29651.8087134,29982.0651883,30316,30653.6541171,30995.0689647,31340.2864289,31689.3488628,32042.2990908,32399.1804145,32760.0366178,33124.9119721
"zwe",716279768,105027.586109,106577.931723,108151.162482,109747.616201,111367.635682,113011.568785,114679.768508,116372.593057,118090.405929,119833.575982,121602.477524,123397.490384,125219,127067.397499,128943.079781,130846.449607,132777.91568,134737.892738,136726.801641,138745.069462,140793.129575
"zwe",716279769,36632.4585191,37173.2018943,37721.9273546,38278.7527259,38843.7975738,39417.1832284,39999.0328111,40589.4712606,41188.6253599,41796.6237634,42413.5970249,43039.677625,43675,44319.7005707,44973.9177717,45637.7920809,46311.46605,46995.0843349,47688.7937268,48392.7431838,49107.0838627
